name,language
.github,
ads-advanced-tools-docs,Jupyter Notebook
ads-pao-amznjs-gtm-server-side-template,Smarty
ads-pao-amznjs-gtm-template,Smarty
alexa-coho,JavaScript
alexa-skills-kit-js,
amazon-ads-advertiser-audience-normalization-sdk-py,Python
amazon-advertising-api-php-sdk,PHP
amazon-codeguru-profiler-for-spark,Java
amazon-frustration-free-setup-certification-tool,Python
amazon-hub-counter-api-docs,CSS
amazon-hub-counter-api-samples,Java
amazon-hub-counter-sdk-java,Java
amazon-hub-support,PowerShell
amazon-instant-access-sdk-java,Java
amazon-instant-access-sdk-net,C#
amazon-instant-access-sdk-php,PHP
amazon-instant-access-sdk-ruby,Ruby
amazon-launcher-integration-cordova-plugin,JavaScript
amazon-marketing-stream-examples,Python
amazon-mcf-plugin-for-magento-1,PHP
amazon-multi-token-completion,Python
amazon-nearest-neighbor-through-ecc,Jupyter Notebook
amazon-pay-api-sdk-dotnet,C#
amazon-pay-api-sdk-java,Java
amazon-pay-api-sdk-nodejs,JavaScript
amazon-pay-api-sdk-php,PHP
amazon-pay-api-sdk-ruby,Ruby
amazon-pay-code-samples,PHP
amazon-pay-sdk-csharp,C#
amazon-pay-sdk-java,Java
amazon-pay-sdk-php,PHP
amazon-pay-sdk-python,Python
amazon-pay-sdk-ruby,Ruby
amazon-payment-files-tools,Kotlin
amazon-payments-magento-2-plugin,PHP
amazon-ray,Python
amazon-s3-gst-plugin,C
amazon-sidewalk-android-samples,
amazon-sidewalk-ios-samples,Swift
amazon-succinct-doc-representation,Python
amazon-template-library,C++
amazon-weak-ner-needle,Python
amigitenough,Go
amzn-drivers,C
amzn-ec2-ena-utilities,Python
app-platform,Kotlin
armbench,Python
augment-the-pairs-wacv2024,Python
autotrail,Python
aws-apigateway-client-lib,
aws-sigv4-signing-samples,Java
awsssmchaosrunner,Kotlin
basis-point-sets,Python
BayesPE,Python
buy-with-prime-cdk-constructs,TypeScript
buy-with-prime-monitoring-sample-cdk,TypeScript
chalet-charging-location-for-electric-trucks,Python
computer-vision-basics-in-microsoft-excel,
confident-sinkhorn-allocation,Jupyter Notebook
convolutional-handwriting-gan,Python
cosearcher,Python
credence-to-causal-estimation,Python
data-jack-knife,Java
debiased-balanced-interleaving,Jupyter Notebook
differential-privacy-bayesian-optimization,Python
distance-assistant,Python
drs-sample-android-app,Java
drs-sample-ios-app,Objective-C
emukit-playground,JavaScript
eslint-plugin-no-date-parsing,TypeScript
exoplayer-amazon-port,Java
explainable-text-vqa,
extremely-efficient-query-encoder,Python
faithful-data2text-cycle-training,Python
fashion-attribute-disentanglement,Python
fire-app-builder,Java
firetv-sample-touch-app,Java
ftv-integration-sdk-sample-app,Kotlin
ftv-livetv-sample-tv-app,Java
gameon-sample-game-unity,C#
gameon-starter-kit-unity,C#
git-commit-template,JavaScript
glad,JavaScript
golang-gitoperations,Go
halo-third-party-sdk-for-java,Java
halo-third-party-sdk-for-node-js,TypeScript
halo-third-party-sdk-for-python,Python
hawktracer,C++
image-misspell-coling2020,
image-to-recipe-transformers,Python
informative-diverse-hard-negative-sampling,Python
ion-cascading-config,Java
ion-object-mapper-dotnet,C#
jekyll-doc-project,HTML
kotlin-inject-anvil,Kotlin
kqr,
lib-3d-scene-viewer,TypeScript
login-with-amazon-oscommerce,PHP
login-with-amazon-wordpress,PHP
